Sample 1 - CPU:  86.20 - MEM: 259.14
Sample 2 - CPU:  87.70 - MEM: 259.15
Sample 3 - CPU:  86.10 - MEM: 259.18
Sample 4 - CPU:  87.60 - MEM: 259.20
Sample 5 - CPU:  86.20 - MEM: 259.20
Sample 6 - CPU:  88.00 - MEM: 259.22
Sample 7 - CPU:  86.60 - MEM: 259.22
Sample 8 - CPU:  88.20 - MEM: 259.23
Sample 9 - CPU:  86.80 - MEM: 259.23
Sample 10 - CPU:  85.40 - MEM: 259.23
Sample 11 - CPU:  86.90 - MEM: 259.23
Sample 12 - CPU:  85.70 - MEM: 259.23
Sample 13 - CPU:  87.20 - MEM: 259.24
Sample 14 - CPU:  85.80 - MEM: 259.24
Sample 15 - CPU:  87.20 - MEM: 259.24
Sample 16 - CPU:  86.10 - MEM: 259.24
Sample 17 - CPU:  87.50 - MEM: 259.24
Sample 18 - CPU:  86.30 - MEM: 259.24
Sample 19 - CPU:  87.70 - MEM: 259.24
Sample 20 - CPU:  86.50 - MEM: 259.24
Sample 21 - CPU:  87.80 - MEM: 259.24
Sample 22 - CPU:  86.90 - MEM: 259.24
Sample 23 - CPU:  88.20 - MEM: 259.24
Sample 24 - CPU:  87.30 - MEM: 259.24
Sample 25 - CPU:  88.40 - MEM: 259.24
Sample 26 - CPU:  87.20 - MEM: 259.24
Sample 27 - CPU:  88.20 - MEM: 259.24
Sample 28 - CPU:  87.10 - MEM: 259.24
Sample 29 - CPU:  88.20 - MEM: 259.24
Sample 30 - CPU:  87.30 - MEM: 259.24
Sample 31 - CPU:  88.40 - MEM: 259.24
Sample 32 - CPU:  87.50 - MEM: 259.24
Sample 33 - CPU:  88.60 - MEM: 259.24
Sample 34 - CPU:  87.70 - MEM: 259.24
Sample 35 - CPU:  88.80 - MEM: 259.24
Sample 36 - CPU:  87.90 - MEM: 259.24
Sample 37 - CPU:  87.10 - MEM: 259.24
Sample 38 - CPU:  88.00 - MEM: 259.24
Sample 39 - CPU:  87.10 - MEM: 259.24
Sample 40 - CPU:  88.00 - MEM: 259.24
Sample 41 - CPU:  87.20 - MEM: 259.24
Sample 42 - CPU:  88.20 - MEM: 259.24
Sample 43 - CPU:  87.30 - MEM: 259.24
Sample 44 - CPU:  88.10 - MEM: 259.24
Sample 45 - CPU:  87.10 - MEM: 259.24
Sample 46 - CPU:  88.00 - MEM: 259.24
Sample 47 - CPU:  87.00 - MEM: 259.24
Sample 48 - CPU:  87.80 - MEM: 259.24
Sample 49 - CPU:  86.80 - MEM: 259.24
Sample 50 - CPU:  87.40 - MEM: 259.24
Sample 51 - CPU:  86.30 - MEM: 259.24
Sample 52 - CPU:  86.80 - MEM: 259.24
Sample 53 - CPU:  85.80 - MEM: 259.24
Sample 54 - CPU:  86.30 - MEM: 259.24
Sample 55 - CPU:  85.30 - MEM: 259.24
Sample 56 - CPU:  85.80 - MEM: 259.24
Sample 57 - CPU:  84.70 - MEM: 259.24
Sample 58 - CPU:  85.30 - MEM: 259.24
Sample 59 - CPU:  84.30 - MEM: 259.24
