Sample 1 - CPU:  21.20 - MEM: 250.78
Sample 2 - CPU:  17.70 - MEM: 251.65
Sample 3 - CPU:  17.70 - MEM: 252.16
Sample 4 - CPU:  15.60 - MEM: 252.20
Sample 5 - CPU:  15.60 - MEM: 252.21
Sample 6 - CPU:  14.00 - MEM: 252.19
Sample 7 - CPU:  14.00 - MEM: 252.21
Sample 8 - CPU:  12.90 - MEM: 252.12
Sample 9 - CPU:  13.00 - MEM: 252.13
Sample 10 - CPU:  12.20 - MEM: 252.09
Sample 11 - CPU:  12.20 - MEM: 252.09
Sample 12 - CPU:  11.40 - MEM: 252.09
Sample 13 - CPU:  11.40 - MEM: 252.09
Sample 14 - CPU:  10.80 - MEM: 252.09
Sample 15 - CPU:  10.80 - MEM: 252.09
Sample 16 - CPU:  10.20 - MEM: 252.09
Sample 17 - CPU:  10.20 - MEM: 252.09
Sample 18 - CPU:   9.80 - MEM: 252.09
Sample 19 - CPU:   9.80 - MEM: 252.09
Sample 20 - CPU:   9.50 - MEM: 252.09
Sample 21 - CPU:   9.50 - MEM: 252.09
Sample 22 - CPU:   9.20 - MEM: 252.09
Sample 23 - CPU:   9.20 - MEM: 252.09
Sample 24 - CPU:   8.90 - MEM: 252.09
Sample 25 - CPU:   8.70 - MEM: 252.09
Sample 26 - CPU:   8.70 - MEM: 252.09
Sample 27 - CPU:   8.40 - MEM: 252.09
Sample 28 - CPU:   8.40 - MEM: 252.09
Sample 29 - CPU:   8.30 - MEM: 252.09
Sample 30 - CPU:   8.30 - MEM: 252.09
Sample 31 - CPU:   8.10 - MEM: 252.09
Sample 32 - CPU:   8.10 - MEM: 252.09
Sample 33 - CPU:   8.00 - MEM: 252.09
Sample 34 - CPU:   8.00 - MEM: 252.09
Sample 35 - CPU:   7.80 - MEM: 252.09
Sample 36 - CPU:   7.80 - MEM: 252.09
Sample 37 - CPU:   7.70 - MEM: 252.09
Sample 38 - CPU:   7.70 - MEM: 252.09
Sample 39 - CPU:   7.60 - MEM: 252.09
Sample 40 - CPU:   7.60 - MEM: 252.09
Sample 41 - CPU:   7.50 - MEM: 252.09
Sample 42 - CPU:   7.50 - MEM: 252.09
Sample 43 - CPU:   7.40 - MEM: 252.09
Sample 44 - CPU:   7.40 - MEM: 252.09
Sample 45 - CPU:   7.30 - MEM: 252.09
Sample 46 - CPU:   7.30 - MEM: 252.09
Sample 47 - CPU:   7.20 - MEM: 252.09
Sample 48 - CPU:   7.20 - MEM: 252.09
Sample 49 - CPU:   7.20 - MEM: 252.09
Sample 50 - CPU:   7.20 - MEM: 252.09
Sample 51 - CPU:   7.10 - MEM: 252.09
Sample 52 - CPU:   7.10 - MEM: 252.09
Sample 53 - CPU:   7.00 - MEM: 252.09
Sample 54 - CPU:   7.00 - MEM: 252.09
Sample 55 - CPU:   7.00 - MEM: 252.09
Sample 56 - CPU:   6.90 - MEM: 252.09
Sample 57 - CPU:   6.90 - MEM: 252.09
Sample 58 - CPU:   6.80 - MEM: 252.09
Sample 59 - CPU:   6.80 - MEM: 252.09
