Sample 1 - CPU:   6.10 - MEM: 256.05
Sample 2 - CPU:   6.10 - MEM: 256.08
Sample 3 - CPU:   6.10 - MEM: 256.11
Sample 4 - CPU:   6.10 - MEM: 256.11
Sample 5 - CPU:   6.10 - MEM: 256.12
Sample 6 - CPU:   6.10 - MEM: 256.12
Sample 7 - CPU:   6.10 - MEM: 256.12
Sample 8 - CPU:   6.10 - MEM: 256.12
Sample 9 - CPU:   6.10 - MEM: 256.12
Sample 10 - CPU:   6.10 - MEM: 256.12
Sample 11 - CPU:   6.10 - MEM: 256.07
Sample 12 - CPU:   6.10 - MEM: 256.07
Sample 13 - CPU:   6.10 - MEM: 256.07
Sample 14 - CPU:   6.10 - MEM: 256.07
Sample 15 - CPU:   6.10 - MEM: 256.07
Sample 16 - CPU:   6.10 - MEM: 256.07
Sample 17 - CPU:   6.00 - MEM: 256.07
Sample 18 - CPU:   6.00 - MEM: 256.07
Sample 19 - CPU:   6.00 - MEM: 256.07
Sample 20 - CPU:   6.00 - MEM: 256.07
Sample 21 - CPU:   6.00 - MEM: 256.07
Sample 22 - CPU:   6.00 - MEM: 256.07
Sample 23 - CPU:   6.00 - MEM: 256.07
Sample 24 - CPU:   6.00 - MEM: 256.07
Sample 25 - CPU:   6.00 - MEM: 256.07
Sample 26 - CPU:   6.00 - MEM: 256.07
Sample 27 - CPU:   6.00 - MEM: 256.07
Sample 28 - CPU:   6.00 - MEM: 256.07
Sample 29 - CPU:   6.00 - MEM: 256.07
Sample 30 - CPU:   6.00 - MEM: 256.07
Sample 31 - CPU:   6.00 - MEM: 256.07
Sample 32 - CPU:   6.00 - MEM: 256.07
Sample 33 - CPU:   6.00 - MEM: 256.07
Sample 34 - CPU:   6.00 - MEM: 256.07
Sample 35 - CPU:   6.00 - MEM: 256.07
Sample 36 - CPU:   6.00 - MEM: 256.07
Sample 37 - CPU:   6.00 - MEM: 256.07
Sample 38 - CPU:   6.00 - MEM: 256.07
Sample 39 - CPU:   6.00 - MEM: 256.07
Sample 40 - CPU:   6.00 - MEM: 256.07
Sample 41 - CPU:   6.00 - MEM: 256.07
Sample 42 - CPU:   5.90 - MEM: 256.07
Sample 43 - CPU:   5.90 - MEM: 256.07
Sample 44 - CPU:   5.90 - MEM: 256.07
Sample 45 - CPU:   5.90 - MEM: 256.07
Sample 46 - CPU:   5.90 - MEM: 256.07
Sample 47 - CPU:   5.90 - MEM: 256.07
Sample 48 - CPU:   5.90 - MEM: 256.07
Sample 49 - CPU:   5.90 - MEM: 256.07
Sample 50 - CPU:   5.90 - MEM: 256.07
Sample 51 - CPU:   5.90 - MEM: 256.07
Sample 52 - CPU:   5.90 - MEM: 256.07
Sample 53 - CPU:   5.90 - MEM: 256.07
Sample 54 - CPU:   5.90 - MEM: 256.07
Sample 55 - CPU:   5.90 - MEM: 256.07
Sample 56 - CPU:   5.90 - MEM: 256.07
Sample 57 - CPU:   5.90 - MEM: 256.07
Sample 58 - CPU:   5.90 - MEM: 256.07
